protein	gene	chrom	rates
NP_542789.2	TMC2	20	data/rates/TMC2_NP_542789.2.csv
NP_061036.3	YOD1	1	data/rates/YOD1_NP_061036.3.csv
NP_001369274.1	LEUTX	19	data/rates/LEUTX_NP_001369274.1.csv
NP_001139540.1	CAPN2	1	data/rates/CAPN2_NP_001139540.1.csv
NP_001138294.1	CD58	1	data/rates/CD58_NP_001138294.1.csv
NP_919247.1	RNF34	12	data/rates/RNF34_NP_919247.1.csv
NP_003326.2	UBA7	3	data/rates/UBA7_NP_003326.2.csv
NP_061072.3	DNAJA4	15	data/rates/DNAJA4_NP_061072.3.csv
NP_694960.2	ANKFN1	17	data/rates/ANKFN1_NP_694960.2.csv
NP_001136438.1	GREB1L	18	data/rates/GREB1L_NP_001136438.1.csv
NP_002827.1	PTPRA	20	data/rates/PTPRA_NP_002827.1.csv
NP_061979.3	SEPTIN3	22	data/rates/SEPT3_NP_061979.3.csv
NP_001127853.1	TBC1D5	3	data/rates/TBC1D5_NP_001127853.1.csv
NP_001186089.1	USP19	3	data/rates/USP19_NP_001186089.1.csv
NP_065962.1	PLXNA4	7	data/rates/PLXNA4_NP_065962.1.csv
NP_001123990.1	CSGALNACT1	8	data/rates/CSGALNACT1_NP_001123990.1.csv
NP_689783.1	LINGO2	9	data/rates/LINGO2_NP_689783.1.csv
NP_001137238.1	ZNF438	10	data/rates/ZNF438_NP_001137238.1.csv
NP_001352009.1	DNAJB12	10	data/rates/DNAJB12_NP_001352009.1.csv
NP_001307827.1	CAMK2G	10	data/rates/CAMK2G_NP_001307827.1.csv
NP_001273104.1	C2CD5	12	data/rates/C2CD5_NP_001273104.1.csv
NP_059136.2	MDM1	12	data/rates/MDM1_NP_059136.2.csv
NP_001127887.1	TBCCD1	3	data/rates/TBCCD1_NP_001127887.1.csv
NP_001349424.1	CEACAM4	19	data/rates/CEACAM4_NP_001349424.1.csv
NP_942147.3	PHLDB3	19	data/rates/PHLDB3_NP_942147.3.csv
NP_001123579.1	KLC1	14	data/rates/KLC1_NP_001123579.1.csv
NP_861451.1	ZNF875	19	data/rates/HKR1_NP_861451.1.csv
NP_001512.1	GTF3C2	2	data/rates/GTF3C2_NP_001512.1.csv
NP_001159976.1	ADH7	4	data/rates/ADH7_NP_001159976.1.csv
NP_001171467.1	PHETA1	12	data/rates/PHETA1_NP_001171467.1.csv
NP_001139727.1	PODNL1	19	data/rates/PODNL1_NP_001139727.1.csv
NP_116068.2	ZNF577	19	data/rates/ZNF577_NP_116068.2.csv
NP_001243359.1	STON2	14	data/rates/STON2_NP_001243359.1.csv
NP_000857.1	HTR1F	3	data/rates/HTR1F_NP_000857.1.csv
NP_085076.2	B4GALT2	1	data/rates/B4GALT2_NP_085076.2.csv
NP_001229313.1	SYTL3	6	data/rates/SYTL3_NP_001229313.1.csv
NP_694993.2	CNEP1R1	16	data/rates/CNEP1R1_NP_694993.2.csv
NP_001012750.1	DCTD	4	data/rates/DCTD_NP_001012750.1.csv
NP_001269456.1	NOL4	18	data/rates/NOL4_NP_001269456.1.csv
NP_116162.1	LRCH3	3	data/rates/LRCH3_NP_116162.1.csv
NP_001001665.3	CYP27C1	2	data/rates/CYP27C1_NP_001001665.3.csv
NP_001258928.1	DOCK7	1	data/rates/DOCK7_NP_001258928.1.csv
NP_001073978.1	TSPAN11	12	data/rates/TSPAN11_NP_001073978.1.csv
NP_055197.2	ATP2C1	3	data/rates/ATP2C1_NP_055197.2.csv
NP_001103373.1	RNFT2	12	data/rates/RNFT2_NP_001103373.1.csv
NP_001132982.1	ECHDC1	6	data/rates/ECHDC1_NP_001132982.1.csv
NP_061008.2	ERMAP	1	data/rates/ERMAP_NP_061008.2.csv
NP_689842.3	GLIS3	9	data/rates/GLIS3_NP_689842.3.csv
NP_001317464.1	UBXN2B	8	data/rates/UBXN2B_NP_001317464.1.csv
NP_001091990.1	HTATIP2	11	data/rates/HTATIP2_NP_001091990.1.csv
NP_000864.2	ICAM2	17	data/rates/ICAM2_NP_000864.2.csv
NP_001349621.1	TMEM176B	7	data/rates/TMEM176B_NP_001349621.1.csv
NP_001094781.1	TMEM176B	7	data/rates/TMEM176B_NP_001094781.1.csv
NP_002516.2	NRDC	1	data/rates/NRDC_NP_002516.2.csv
NP_055744.2	FASTKD2	2	data/rates/FASTKD2_NP_055744.2.csv
NP_001230228.1	APLP2	11	data/rates/APLP2_NP_001230228.1.csv
NP_001138579.1	NELL2	12	data/rates/NELL2_NP_001138579.1.csv
NP_055844.2	POP1	8	data/rates/POP1_NP_055844.2.csv
NP_001111.3	MFSD10	4	data/rates/MFSD10_NP_001111.3.csv
NP_064538.3	IFT46	11	data/rates/IFT46_NP_064538.3.csv
NP_003924.2	BAIAP3	16	data/rates/BAIAP3_NP_003924.2.csv
NP_078963.2	ZBBX	3	data/rates/ZBBX_NP_078963.2.csv
NP_004033.2	ARSF	X	data/rates/ARSF_NP_004033.2.csv
NP_001035243.2	SLAIN1	13	data/rates/SLAIN1_NP_001035243.2.csv
NP_001243638.1	ANAPC10	4	data/rates/ANAPC10_NP_001243638.1.csv
NP_006391.1	DCTN2	12	data/rates/DCTN2_NP_006391.1.csv
NP_057736.4	CRNKL1	20	data/rates/CRNKL1_NP_057736.4.csv
NP_001265554.1	CRNKL1	20	data/rates/CRNKL1_NP_001265554.1.csv
NP_001032824.2	ZNF630	X	data/rates/ZNF630_NP_001032824.2.csv
NP_001276032.1	PRKCSH	19	data/rates/PRKCSH_NP_001276032.1.csv
NP_001277002.1	ENPP5	6	data/rates/ENPP5_NP_001277002.1.csv
NP_872352.2	VSTM2A	7	data/rates/VSTM2A_NP_872352.2.csv
NP_997264.2	TNFAIP8L3	15	data/rates/TNFAIP8L3_NP_997264.2.csv
NP_001186552.1	CIDEC	3	data/rates/CIDEC_NP_001186552.1.csv
NP_001316542.1	SNAPC5	15	data/rates/SNAPC5_NP_001316542.1.csv
NP_001244928.1	ANKFY1	17	data/rates/ANKFY1_NP_001244928.1.csv
NP_001095896.1	TBC1D8	2	data/rates/TBC1D8_NP_001095896.1.csv
NP_775735.2	L3MBTL4	18	data/rates/L3MBTL4_NP_775735.2.csv
NP_056070.1	UBR2	6	data/rates/UBR2_NP_056070.1.csv
NP_001243595.1	FAM193A	4	data/rates/FAM193A_NP_001243595.1.csv
NP_775945.1	DCBLD1	6	data/rates/GOPC_NP_775945.1.csv
NP_001136013.1	SLC35B3	6	data/rates/SLC35B3_NP_001136013.1.csv
NP_001009814.1	VWA8	13	data/rates/VWA8_NP_001009814.1.csv
NP_001335620.1	C1orf216	1	data/rates/C1orf216_NP_001335620.1.csv
NP_958848.1	PPHLN1	12	data/rates/PPHLN1_NP_958848.1.csv
NP_001430.1	EXTL2	1	data/rates/EXTL2_NP_001430.1.csv
NP_001138786.1	CEP44	4	data/rates/CEP44_NP_001138786.1.csv
NP_001139643.1	TATDN3	1	data/rates/TATDN3_NP_001139643.1.csv
NP_076948.2	DBNDD1	16	data/rates/DBNDD1_NP_076948.2.csv
NP_001291386.2	LILRB5	19	data/rates/LILRB5_NP_001291386.2.csv
NP_001160051.1	AANAT	17	data/rates/AANAT_NP_001160051.1.csv
NP_690872.2	SLC47A2	17	data/rates/SLC47A2_NP_690872.2.csv
NP_001278920.1	ELAPOR2	7	data/rates/KIAA1324L_NP_001278920.1.csv
NP_060466.2	DET1	15	data/rates/DET1_NP_060466.2.csv
NP_001317926.1	FAM135A	6	data/rates/FAM135A_NP_001317926.1.csv
NP_001338528.1	FAM135A	6	data/rates/FAM135A_NP_001338528.1.csv
NP_001182054.1	C16orf95	16	data/rates/C16orf95_NP_001182054.1.csv
NP_004632.1	MLLT10	10	data/rates/MLLT10_NP_004632.1.csv
NP_009178.3	SYNRG	17	data/rates/SYNRG_NP_009178.3.csv
NP_005955.3	MYH10	17	data/rates/NDEL1_NP_005955.3.csv
NP_001189472.1	CUX1	7	data/rates/CUX1_NP_001189472.1.csv
NP_001245305.1	EPS15L1	19	data/rates/EPS15L1_NP_001245305.1.csv
NP_078841.3	CCNJL	5	data/rates/CCNJL_NP_078841.3.csv
NP_001028693.1	CSTF1	20	data/rates/CSTF1_NP_001028693.1.csv
NP_001073950.1	USP45	6	data/rates/USP45_NP_001073950.1.csv
NP_872346.3	INTS6L	X	data/rates/INTS6L_NP_872346.3.csv
NP_940888.3	RPL7L1	6	data/rates/RPL7L1_NP_940888.3.csv
NP_001152794.1	PLA2G4C	19	data/rates/PLA2G4C_NP_001152794.1.csv
NP_001138821.1	IPP	1	data/rates/IPP_NP_001138821.1.csv
NP_001230575.1	CD2BP2	16	data/rates/CD2BP2_NP_001230575.1.csv
NP_001027582.1	USP16	21	data/rates/USP16_NP_001027582.1.csv
NP_001269581.1	STIP1	11	data/rates/STIP1_NP_001269581.1.csv
NP_001335063.1	CCNI	4	data/rates/CCNI_NP_001335063.1.csv
NP_001310552.1	GNL2	1	data/rates/GNL2_NP_001310552.1.csv
NP_001014839.1	NCDN	1	data/rates/NCDN_NP_001014839.1.csv
NP_001172009.1	CLDN15	7	data/rates/CLDN15_NP_001172009.1.csv
NP_001258708.1	PSMD6	3	data/rates/PSMD6_NP_001258708.1.csv
NP_001311249.1	MAST2	1	data/rates/MAST2_NP_001311249.1.csv
NP_001138997.1	RAI14	5	data/rates/RAI14_NP_001138997.1.csv
NP_001291688.1	CZIB	1	data/rates/C1orf123_NP_001291688.1.csv
NP_001333641.1	ADAP2	17	data/rates/ADAP2_NP_001333641.1.csv
NP_001153519.1	TXNDC16	14	data/rates/TXNDC16_NP_001153519.1.csv
NP_001317300.1	C11orf1	11	data/rates/C11orf1_NP_001317300.1.csv
NP_001310535.1	SYNDIG1	20	data/rates/SYNDIG1_NP_001310535.1.csv
NP_001276048.1	ZCCHC7	9	data/rates/ZCCHC7_NP_001276048.1.csv
NP_001273309.1	FAM120B	6	data/rates/FAM120B_NP_001273309.1.csv
NP_001308451.1	ZNF845	19	data/rates/ZNF845_NP_001308451.1.csv
NP_001307271.1	SVIP	11	data/rates/SVIP_NP_001307271.1.csv
NP_001193926.1	CFAP299	4	data/rates/CFAP299_NP_001193926.1.csv
NP_004972.1	KCNJ4	22	data/rates/KCNJ4_NP_004972.1.csv
NP_001333045.1	PUSL1	1	data/rates/PUSL1_NP_001333045.1.csv
NP_003311.2	TUB	11	data/rates/TUB_NP_003311.2.csv
NP_001017526.1	ARHGAP8	22	data/rates/ARHGAP8_NP_001017526.1.csv
NP_116196.3	FBH1	10	data/rates/FBH1_NP_116196.3.csv
NP_115916.3	ZGPAT	20	data/rates/ZGPAT_NP_115916.3.csv
NP_871621.1	UBE2D3	4	data/rates/UBE2D3_NP_871621.1.csv
NP_001127872.1	CYB561D1	1	data/rates/CYB561D1_NP_001127872.1.csv
NP_689646.2	KBTBD3	11	data/rates/KBTBD3_NP_689646.2.csv
NP_001307509.1	QRICH1	3	data/rates/QRICH1_NP_001307509.1.csv
NP_001305855.1	RPE	2	data/rates/RPE_NP_001305855.1.csv
NP_001265211.1	RPE	2	data/rates/RPE_NP_001265211.1.csv
NP_001306119.1	SCIMP	17	data/rates/SCIMP_NP_001306119.1.csv
NP_115671.1	SLC37A3	7	data/rates/SLC37A3_NP_115671.1.csv
NP_870989.1	GRM7	3	data/rates/GRM7_NP_870989.1.csv
NP_001264114.1	SAMD3	6	data/rates/SAMD3_NP_001264114.1.csv
NP_001139699.1	RPS20	8	data/rates/RPS20_NP_001139699.1.csv
NP_689564.3	SLC5A10	17	data/rates/SLC5A10_NP_689564.3.csv
NP_001128527.1	TKT	3	data/rates/TKT_NP_001128527.1.csv
NP_001337228.1	EPB41L2	6	data/rates/EPB41L2_NP_001337228.1.csv
NP_001171983.1	ADD2	2	data/rates/ADD2_NP_001171983.1.csv
NP_001170977.1	AOAH	7	data/rates/AOAH_NP_001170977.1.csv
NP_001243068.1	CAPG	2	data/rates/CAPG_NP_001243068.1.csv
NP_001291278.1	PRKACA	19	data/rates/PRKACA_NP_001291278.1.csv
NP_001015885.1	RAE1	20	data/rates/RAE1_NP_001015885.1.csv
NP_001189431.1	NIPSNAP1	22	data/rates/NIPSNAP1_NP_001189431.1.csv
NP_795714.1	PLPP1	5	data/rates/PLPP1_NP_795714.1.csv
NP_001124499.1	PDLIM4	5	data/rates/PDLIM4_NP_001124499.1.csv
NP_001284694.1	CETN3	5	data/rates/CETN3_NP_001284694.1.csv
NP_001248763.1	TBRG4	7	data/rates/TBRG4_NP_001248763.1.csv
NP_955450.2	PRCP	11	data/rates/PRCP_NP_955450.2.csv
NP_001271138.1	MED6	14	data/rates/MED6_NP_001271138.1.csv
NP_001073852.1	GJC1	17	data/rates/GJC1_NP_001073852.1.csv
NP_001316057.1	IFNGR2	21	data/rates/IFNGR2_NP_001316057.1.csv
NP_001138350.1	IMPA1	8	data/rates/IMPA1_NP_001138350.1.csv
NP_001230806.1	TOB1	17	data/rates/TOB1_NP_001230806.1.csv
NP_878912.1	DHRS2	14	data/rates/DHRS2_NP_878912.1.csv
NP_001243423.1	MAN2C1	15	data/rates/MAN2C1_NP_001243423.1.csv
NP_996670.1	MORF4L1	15	data/rates/MORF4L1_NP_996670.1.csv
NP_001159409.1	STARD3	17	data/rates/STARD3_NP_001159409.1.csv
NP_001185524.1	STON1	2	data/rates/STON1_NP_001185524.1.csv
NP_001008697.1	TFIP11	22	data/rates/TFIP11_NP_001008697.1.csv
NP_001257293.1	ALDH1L1	3	data/rates/ALDH1L1_NP_001257293.1.csv
NP_862820.1	ORC3	6	data/rates/ORC3_NP_862820.1.csv
NP_001275879.1	ASTE1	3	data/rates/ATP2C1_NP_001275879.1.csv
NP_001258851.1	SEC11A	15	data/rates/SEC11A_NP_001258851.1.csv
NP_680481.1	PPIL2	22	data/rates/PPIL2_NP_680481.1.csv
NP_001278383.1	ATP2C2	16	data/rates/ATP2C2_NP_001278383.1.csv
NP_001273456.2	ATP2C2	16	data/rates/ATP2C2_NP_001273456.2.csv
NP_001229630.1	CAMTA1	1	data/rates/CAMTA1_NP_001229630.1.csv
NP_001271352.1	MYRIP	3	data/rates/MYRIP_NP_001271352.1.csv
NP_001238891.1	ARHGEF26	3	data/rates/ARHGEF26_NP_001238891.1.csv
NP_001305406.1	TSKU	11	data/rates/TSKU_NP_001305406.1.csv
NP_001277190.1	ZNF337	20	data/rates/ZNF337_NP_001277190.1.csv
NP_001334819.1	TMX2	11	data/rates/TMX2_NP_001334819.1.csv
NP_001335842.1	DYNC2LI1	2	data/rates/DYNC2LI1_NP_001335842.1.csv
NP_001304909.1	RPL26L1	5	data/rates/RPL26L1_NP_001304909.1.csv
NP_001129115.1	DCTN4	5	data/rates/DCTN4_NP_001129115.1.csv
NP_001336845.1	FAM118A	22	data/rates/FAM118A_NP_001336845.1.csv
NP_001136099.1	SEC61A2	10	data/rates/SEC61A2_NP_001136099.1.csv
NP_001123509.1	ELMOD1	11	data/rates/ELMOD1_NP_001123509.1.csv
NP_001229840.1	ZFAND6	15	data/rates/ZFAND6_NP_001229840.1.csv
NP_001240652.1	DPYSL5	2	data/rates/DPYSL5_NP_001240652.1.csv
NP_001273974.1	SH3GLB2	9	data/rates/SH3GLB2_NP_001273974.1.csv
NP_001129392.2	RIC1	9	data/rates/RIC1_NP_001129392.2.csv
NP_001280203.1	CACHD1	1	data/rates/CACHD1_NP_001280203.1.csv
NP_001186049.1	RPP21	6	data/rates/RPP21_NP_001186049.1.csv
NP_001087224.1	TRAPPC13	5	data/rates/TRAPPC13_NP_001087224.1.csv
NP_001318167.1	TMEM121	14	data/rates/TMEM121_NP_001318167.1.csv
NP_001300655.1	ANO3	11	data/rates/ANO3_NP_001300655.1.csv
NP_001341466.1	ZNF484	9	data/rates/ZNF484_NP_001341466.1.csv
NP_001309342.1	PNISR	6	data/rates/PNISR_NP_001309342.1.csv
NP_001307488.1	CSRNP1	3	data/rates/CSRNP1_NP_001307488.1.csv
NP_001303913.1	SLX9	21	data/rates/FAM207A_NP_001303913.1.csv
NP_001136122.1	HNRNPLL	2	data/rates/HNRNPLL_NP_001136122.1.csv
NP_001295268.1	DENND5B	12	data/rates/DENND5B_NP_001295268.1.csv
NP_001305132.1	VTI1A	10	data/rates/VTI1A_NP_001305132.1.csv
NP_001128647.1	NEDD1	12	data/rates/NEDD1_NP_001128647.1.csv
NP_061142.2	ABCA5	17	data/rates/ABCA5_NP_061142.2.csv
NP_001305741.1	TTC9C	11	data/rates/TTC9C_NP_001305741.1.csv
NP_065074.1	PAK5	20	data/rates/PAK5_NP_065074.1.csv
NP_653202.1	CMTM3	16	data/rates/CMTM3_NP_653202.1.csv
NP_001310991.1	MIA3	1	data/rates/MIA3_NP_001310991.1.csv
NP_001278880.1	GUCY1B1	4	data/rates/GUCY1B1_NP_001278880.1.csv
NP_001034180.1	PRPS2	X	data/rates/PRPS2_NP_001034180.1.csv
NP_757345.2	TAPBP	6	data/rates/TAPBP_NP_757345.2.csv
NP_001317459.1	EIPR1	2	data/rates/EIPR1_NP_001317459.1.csv
NP_001336216.1	SEPTIN2	2	data/rates/SEPT2_NP_001336216.1.csv
NP_001306972.1	NFATC4	14	data/rates/NFATC4_NP_001306972.1.csv
NP_001290032.1	TLE1	9	data/rates/TLE1_NP_001290032.1.csv
NP_001265299.1	MPP2	17	data/rates/MPP2_NP_001265299.1.csv
NP_689898.2	SLC23A1	5	data/rates/SLC23A1_NP_689898.2.csv
NP_001153145.1	SYNCRIP	6	data/rates/SYNCRIP_NP_001153145.1.csv
NP_001003828.1	PARVB	22	data/rates/PARVB_NP_001003828.1.csv
NP_001350700.1	GGA1	22	data/rates/GGA1_NP_001350700.1.csv
NP_001121633.1	UBP1	3	data/rates/UBP1_NP_001121633.1.csv
NP_001316422.1	EMC2	8	data/rates/EMC2_NP_001316422.1.csv
NP_001304981.1	DENND2A	7	data/rates/DENND2A_NP_001304981.1.csv
NP_001304653.1	NOL7	6	data/rates/NOL7_NP_001304653.1.csv
NP_001277243.1	ZNF571	19	data/rates/ZNF571_NP_001277243.1.csv
NP_001229877.1	EPDR1	7	data/rates/EPDR1_NP_001229877.1.csv
NP_001138749.1	NECAP2	1	data/rates/NECAP2_NP_001138749.1.csv
NP_001091995.1	CKAP2	13	data/rates/CKAP2_NP_001091995.1.csv
NP_001006624.1	WDR33	2	data/rates/WDR33_NP_001006624.1.csv
NP_001287909.1	TMCO6	5	data/rates/TMCO6_NP_001287909.1.csv
NP_001303880.1	GPALPP1	13	data/rates/GPALPP1_NP_001303880.1.csv
NP_001073153.1	KIAA1191	5	data/rates/KIAA1191_NP_001073153.1.csv
NP_001276334.1	MMS19	10	data/rates/MMS19_NP_001276334.1.csv
NP_001275723.1	RMND5B	5	data/rates/RMND5B_NP_001275723.1.csv
NP_001180457.1	SCRN3	2	data/rates/SCRN3_NP_001180457.1.csv
NP_001166140.1	ZNF668	16	data/rates/ZNF668_NP_001166140.1.csv
NP_001308178.1	VOPP1	7	data/rates/VOPP1_NP_001308178.1.csv
NP_001139664.1	ZMYND12	1	data/rates/ZMYND12_NP_001139664.1.csv
NP_001127907.1	IQCG	3	data/rates/IQCG_NP_001127907.1.csv
NP_001273670.1	UBL7	15	data/rates/UBL7_NP_001273670.1.csv
NP_001121689.1	PSIP1	9	data/rates/PSIP1_NP_001121689.1.csv
NP_001073004.1	ART5	11	data/rates/ART5_NP_001073004.1.csv
NP_001136355.1	IP6K3	6	data/rates/IP6K3_NP_001136355.1.csv
NP_001186713.1	SDCBP2	20	data/rates/SDCBP2_NP_001186713.1.csv
NP_001007170.1	ZNF483	9	data/rates/ZNF483_NP_001007170.1.csv
NP_001318140.1	TMEM45B	11	data/rates/TMEM45B_NP_001318140.1.csv
NP_777378.1	CRB3	19	data/rates/CRB3_NP_777378.1.csv
NP_001317422.1	OSCP1	1	data/rates/OSCP1_NP_001317422.1.csv
NP_001245367.1	TARS1	5	data/rates/TARS_NP_001245367.1.csv
NP_001269784.1	IQUB	7	data/rates/IQUB_NP_001269784.1.csv
NP_001245319.1	LAYN	11	data/rates/LAYN_NP_001245319.1.csv
NP_001003945.1	ALAD	9	data/rates/ALAD_NP_001003945.1.csv
NP_001317162.1	MPP3	17	data/rates/MPP3_NP_001317162.1.csv
NP_001025459.1	SPN	16	data/rates/SPN_NP_001025459.1.csv
NP_001288005.1	AP2S1	19	data/rates/AP2S1_NP_001288005.1.csv
NP_775293.1	ATP2A1	16	data/rates/ATP2A1_NP_775293.1.csv
NP_001333520.1	INSIG1	7	data/rates/INSIG1_NP_001333520.1.csv
NP_001271262.1	TLK2	17	data/rates/TLK2_NP_001271262.1.csv
NP_001157828.1	THAP4	2	data/rates/THAP4_NP_001157828.1.csv
NP_001308031.1	TRAPPC12	2	data/rates/TRAPPC12_NP_001308031.1.csv
NP_001290462.1	RAPGEFL1	17	data/rates/RAPGEFL1_NP_001290462.1.csv
NP_001155047.1	LRRC36	16	data/rates/LRRC36_NP_001155047.1.csv
NP_001317448.1	ZNF574	19	data/rates/ZNF574_NP_001317448.1.csv
NP_001158296.1	SMIM12	1	data/rates/SMIM12_NP_001158296.1.csv
NP_001186072.1	XIRP2	2	data/rates/XIRP2_NP_001186072.1.csv
NP_001243576.2	NR1H2	19	data/rates/NR1H2_NP_001243576.2.csv
NP_001269690.1	CFAP36	2	data/rates/CFAP36_NP_001269690.1.csv
NP_001350318.1	CADPS2	7	data/rates/CADPS2_NP_001350318.1.csv
NP_663719.2	MAP4K4	2	data/rates/MAP4K4_NP_663719.2.csv
NP_001073996.1	MYO7B	2	data/rates/MYO7B_NP_001073996.1.csv
NP_001253991.1	PLEKHB2	2	data/rates/PLEKHB2_NP_001253991.1.csv
NP_065915.1	NYAP2	2	data/rates/NYAP2_NP_065915.1.csv
NP_006091.1	ST3GAL6	3	data/rates/ST3GAL6_NP_006091.1.csv
NP_001139488.1	TJAP1	6	data/rates/TJAP1_NP_001139488.1.csv
NP_001273770.1	OSR2	8	data/rates/OSR2_NP_001273770.1.csv
NP_057318.2	ACSL5	10	data/rates/ACSL5_NP_057318.2.csv
NP_064578.2	EMSY	11	data/rates/EMSY_NP_064578.2.csv
NP_001273495.1	KIAA0513	16	data/rates/KIAA0513_NP_001273495.1.csv
NP_001121613.1	DPEP1	16	data/rates/DPEP1_NP_001121613.1.csv
NP_001191140.1	TMEM235	17	data/rates/TMEM235_NP_001191140.1.csv
NP_796375.3	MIDN	19	data/rates/MIDN_NP_796375.3.csv
NP_001229510.1	RIN2	20	data/rates/RIN2_NP_001229510.1.csv
NP_001352550.1	DLGAP4	20	data/rates/DLGAP4_NP_001352550.1.csv
NP_001276041.1	CPNE4	3	data/rates/CPNE4_NP_001276041.1.csv
NP_001157951.1	C5orf63	5	data/rates/C5orf63_NP_001157951.1.csv
NP_001156946.1	ZNF746	7	data/rates/ZNF746_NP_001156946.1.csv
NP_055446.2	SH3PXD2A	10	data/rates/SH3PXD2A_NP_055446.2.csv
NP_001004298.2	C10orf90	10	data/rates/C10orf90_NP_001004298.2.csv
NP_001229463.1	MFSD11	17	data/rates/MFSD11_NP_001229463.1.csv
NP_001092877.1	DZANK1	20	data/rates/DZANK1_NP_001092877.1.csv
NP_872114.1	ENOX2	X	data/rates/ENOX2_NP_872114.1.csv
